date,location,species code,sex (M/F),age/pelage (J/A/S),Rat ID,left eartag,right eartag,RFID,new animal? (Y/N),total mass (g),"female (perforate, partially perforate, imperforate)",female nipple size (S/M/L),pregnant? (Y/N/Possibly),fleas,ticks,"male (scrotal, nonscrotal)",Notes,,,
11/6/16,WC35,Nefu,F,A,6399,,6399,1B797022F8,N,230,P,L,N,,N,,"check if D or 0 next week, also check eartag (fuck was it a male, me think not?)",,,
11/6/16,WC08,Nefu,F,A,6397,,6397,1B797025C4,N,180,P,L,N,,N,NS,squeaking,,,
10/7/16,WC39,Nefu,M,S,6332,6332,,3BDDB090,N,185,,,,n,n,NS,,,,
10/7/16,WC02B,Nefu,F,J,6331,,6331,003BDDB060,Y,100,I,S,N,Y,N,,"very squirmy, went back to 2B; (writing bad)",,,
10/7/16,WC14,Nefu,F,A,6397,,6397,1B797025C4,N,160,I,L,N,N,N,,,,,
10/7/16,WC15,Nefu,M,J,5731,5731,,3BDDB099,Y,122,,,,Y,N,NS,"went past 15, into chemise",,,
10/7/16,WC19,Nefu,M,A,6347,6347,,1B797025F4,N,240,,,,N,N,NS,,,,
10/7/16,WC34,Nefu,F,J,6352,6352,,3BDDB086,Y,100,I,S,N,N,N,,"loud one, RFID stuck on back with ver bond, did not go in, likely need to replace next trapping session",,,
10/7/16,WC41,Nefu,,A,,,,,Y,,,,,,,,"Escaped out of bag, went into tree above 2B",,,
10/7/16,WC50,Nefu,F,J,6305,6305,6345/5732,003BDDB07F,Y,128,I,M,N,N,N,,went up into trees,,,
10/7/16,WC51,Nefu,M,J,6309,6309,,003BDDB0A8,Y,112,,,,N,N,NS,WENT INTO 45,,,
14/8/16,WC25,Nefu,M,S,6332,6332,,3BDDB090,N,180,,,,N,N,NS,,,,
14/8/16,WC15,Nefu,M,A,5731,5731,,3BDDB099,N,144,,,,N,Y,NS,"died after handling in transit, Philip Scruffed Him cause he almost escaped",,,
14/8/16,WC35,Nefu,M,J,5508,5508,,3BDDB063,Y,105,,,,N,N,S,EARTAG # CHANGED CAUSE I AM DYSLEXIC,,,
14/8/16,WC51,Nefu,M,S,6309,6309,,003BDDB07A,N,130,,,,N,Y,NS,NEW RFID TAG,,,
14/8/16,WC21,Nefu,F,J,6314,6314,,,Y,102,I,S,N,,Y,NS,HUNG OUT ABOVE 21; WRONG RFID NUMBER,,,
14/8/16,WC53,Nefu,F,A,6391,6391,,003BDDB04E,Y,190,P,L,N,N,N,,,,,
11/9/16,WC50,Nefu,F,A,6305,,5732,003BDDB07F,N,175,I,L,N,N,N,,"CHECK EAR TAG SITUATION, MIGHT BE NEW, MIGHT BE A NEW EAR TAG",,,
11/9/16,WC36,Nefu,M,S,5508,5508,,3BDDB09C,N,150,,,,N,N,NS,"HAD EARTAG, NO PIT TAG ,PIT TAGGED TODAY BUT WENT THROUGH BOTH SIDES, VETBONDED",,,
11/9/16,WC02,Nefu,M,S,5733,,5733,003BDDB076,Y,165,,,,Y,N,NS,LOTS OF FLEAS,,,
11/9/16,WC30,Nefu,,,,,,,N,,,,,,,,"ESCAPED INTO TREE, HAD EAR TAG",,,
11/9/16,WC06,Nefu,F,A,6397,,6397,1B797025C4,N,160,P,S,N,N,N,,"TAIL TRIP MAY HAVE GOTTEN TRAPPED, CHECK TO SEE IF 6 IS C",,,
11/9/16,WC52,Nefu,F,A,6391,6391,,003BDDB04E,N,215,I,S,N,N,N,,,,,
11/9/16,WC42,Nefu,M,S,6332,6332,,3BDDB090,N,185,,,,,,NS,,,,
11/9/16,WC41,Nefu,F,J,5524,5524,,3BDDB0AD,Y,145,I,S,N,N,N,,EARTAG SIDE NOT RECORDED,,,
11/9/16,WC11,Nefu,F,A,5520,5520,,003BDDB0A0,N,135,I,S,N,N,N,,WENT INTO TREE,,,
11/9/16,WC33,Nefu,F,A,5776,5776,,003BDDB056,Y,160,P,M,P,N,N,,"CHECK DNA TO SEE IF RECAPTURE, EAR TORN UP- DATA SHEET SAYS NEW…",,,
8/10/16,WC52,Nefu,F,A,6391,6391,,003BDDB04E,N,170,PP,L,N,Y,N,,SQUEAKY,,,
8/10/16,WC41,Nefu,F,S,5524,5524,,,N,160,P,S,N,N,N,,"WENT INTO HOUE, TAIL RATTLE, DID NOT RE PIT TAG; pit tag fell out, did not retag",,,
8/10/16,WC40,Nefu,M,S,6332,6332,,3BDDB090,N,120,,,,N,N,NS,RAN INTO TREE BEHIND DEN,,,
8/10/16,WC14,Nefu,F,A,6397,,6397,1B797025C4,N,178,P,M,N,N,,,RAN INTO UNDERBRUSH,,,
8/10/16,WC13,,,J,5781,5781,,,Y,,,,,,,,MAY HAVE BEEN A MOUSE,,,
8/10/16,WC46,Nefu,F,A,5780,5780,,003BDDB08C,Y,175,P,S,Y,N,N,,WENT IN TREE TOWARD 27,,,
8/10/16,WC51,Nefu,M,S,6309,6309,,003BDDB07A,N,155,,,,N,N,NS,"WENT INTO DEN, TAIL RATTLE",,,
15/5/17,WC15,Nefu,M,S,5590,5590,,,Y,140,,,,,,NS,"ran into WC15, no PIT TAG inserted",,,
15/5/17,WC49,Nefu,F,A,6305,6305,6345/5732,003BDDB07F,N,200,P,L,N,Y,N,,"ran into tree, vanished above 50",,,
15/5/17,WC10,Nefu,F,S,6346,6346,,0015C465D5,Y,155,I,S,N,N,N,,ran into 10,,,
15/5/17,WC50,Nefu,M,J,5797,5797,,,Y,105,,,,Y,N,NS,"ran into 50, too small to RFID",,,
15/5/17,WC59,Nefu,F,,,,,,Y,,I,S,N,Y,N,,escaped,,,
15/5/17,WC56,Nefu,F,J,6355,6355,,,Y,70,I,S,N,Y,N,,"ran into 56, too small to RFID",,,
15/5/17,WC53,Nefu,F,A,6365,6365,,0015C465BD,Y,170,P,L,N,N,N,,ran into 53,,,
15/5/17,WC46,Nefu,,,,,,,Y,,,,,,,,escaped,,,
15/5/17,WC40,Nefu,M,J,5598,5598,,,Y,95,,,,Y,N,NS,"to small to RFID, went up in tree toward den 10",,,
15/5/17,WC60,Nefu,F,J,6360,,6360,,Y,90,I,S,N,Y,N,,"too small to RFID, went into den (said Haruka)",,,
15/5/17,WC08C,Nefu,M,A,5769,5769,,,Y,255,,,,N,N,NS,ran away from 8C towards 6,,,
15/5/17,WC08,Nefu,F,J,5766,5766,,,Y,100,I,S,N,Y,N,,ran towards 8B,,,
15/5/17,WC41,Nefu,F,A,5524,5524,,0015C465C5,N,165,P,L,N,N,N,,radio collared (4.008); went into 40; new PIT tag inserted,,,
15/5/17,WC29,Nefu,,,,,,,Y,,,,,,,,"escaped, chilled out in tree for a couple hours",,,
15/5/17,WC54,Nefu,F,J,6341,6341,,,Y,60,I,S,N,Y,N,,ran into house,,,
15/5/17,WC27,Nefu,M,A,6350,6350/6343,,0015C465ED,Y,200,,,,Y,N,S,radio collared (4.040); went into house,,,
15/5/17,WC35,Nefu,F,A,5520,5520,,003BDDB0A0,N,215,P,M,N,N,N,,went into 35,,,
15/5/17,WC40,Nefu,M,A,6309,6309,,003BDDB07A,N,,,,,N,N,S,ran around house then downhill,,,
15/5/17,WC01,Nefu,M,A,6333,6333,,0015C465EE,Y,315,,,,Y,N,S,radio collared (4.120); went downhill from WC01,,,
15/5/17,WC02B,Nefu,F,A,6397,6397,,1B797025C4,N,215,P,L,N,Y,N,,ran into 2B,,,
11/6/17,WC32,Nefu,F,A,5520,5520,,003BDDB0A0,N,195,I,L,N,Y,N,,"recap, went into house",,,
11/6/17,WC01A,Nefu,M,A,5590,5590,,0015C465CF,N,180,,,,Y,N,NS,"recap, straight into house",,,
11/6/17,WC40,Nefu,F,A,5524,5524,,0015C465C5,N,175,I,M,N,N,N,,"recap went into house, still has collar",,,
11/6/17,WC56,Nefu,F,A,6305,6305,6345/5732,0015C465D6,N,195,I,M,N,N,N,,"recap, went into house, tail rattle",,,
11/6/17,WC49,Nefu,M,A,6309,6309,,003BDDB07A,N,215,,,,N,N,NS,"recap, went into house",,,
11/6/17,WC52,Nefu,F,A,6391,6391,,003BDDB04E,N,185,I,M,N,N,N,,"reap, went into house, nuber might be 6341",,,
11/6/17,WC53,Nefu,F,S,5532,5532/6340,,0015C465B2,Y,117,I,S,N,N,N,,"new pit tag, went into house",,,
11/6/17,WC41,Nefu,F,S,6312,6312,,0015C465D7,Y,110,P,M,N,Y,N,,"new pit tag, went into house",,,
11/6/17,WC36,Nefu,F,J,6307,6307,,0015C465BE,Y,41,P,S,N,Y,N,,"new pit tag, went into house",,,
11/6/17,WC02B,Nefu,F,A,6397,6397,,1B797025C4,N,197,P,L,N,Y,N,,"recap, ran to left of house toward 36",,,
11/6/17,WC58,Nefu,M,J,6336,6336,,,Y,70,,,,Y,N,NS,"too small for PIT, hid in grass in front of house",,,
11/6/17,WC58,Nefu,F,A,5783,5783,,0015C46597,Y,180,P,L,N,Y,N,,"new tag, went into house",,,
11/6/17,WC50,Nefu,M,J,5797,5797,,0015C465AE,Y,135,,,,Y,N,NS,"recap, new pit tag, went into house",,,
11/6/17,WC57,Nefu,F,J,6395,6395,,0015C465C7,Y,90,P,S,N,N,N,,"new pit tag, ran imto house",,,
11/6/17,WC56,Nefu,M,J,6342,6342,,0015C465D9,Y,110,,,,Y,N,NS,"lots of fleas, new pit tag, went into house",,,
11/6/17,WC12,Nefu,M,S,6303,6303,,0015C465E6,Y,135,,,,Y,Y,NS,RAN TO THE LEFT OF HOUSE,,,
11/6/17,WC02,Nefu,F,S,6344,6344,,0015C465B9,Y,116,I,S,N,N,Y,,"blood on tail and feet, went into house",,,
11/6/17,WC29,Nefu,M,A,6350,6350/6343,,0015C465ED,N,220,,,,Y,Y,NS,"recap, collared, new eartag (last captured @WC27) 6343",,,
11/6/17,WC19,Nefu,M,A,5570,5570,,0015C465A2,Y,165,,,,N,Y,NS,new pit tag,,,
11/6/17,WC42,Nefu,M,J,5598,5598,,0015C465E1,N,135,,,,Y,N,NS,"recap, new pit tag, went into house",,,
11/6/17,WC44,Nefu,F,S,6353,6353,,0015C465C1,Y,115,I,S,N,N,Y,,new pit tag,,,
9/7/17,WC02B,Nefu,F,S,5522,5522,,,Y,105,I,S,P,Y,N,,"white tail tio, hanging in tree above WC4",,,
9/7/17,WC29,Nefu,M,A,6350,6350/6343,,0015C465ED,N,217,,,,N,Y,NS,went into house; new ear tag 6343,,,
9/7/17,WC02B,Nefu,M,J,5533,,5533,,Y,95,,,,N,N,NS,"went back into 2B, tail rattle",,,
9/7/17,WC54,Nefu,F,S,6341,6341,,0015C465A6,N,127,I,S,N,N,N,,went into house,,,
9/7/17,WC19,Nefu,M,A,5570,5570,,0015C465A2,N,172,,,,Y,N,NS,"tail rattle, went back into house",,,
9/7/17,WC12,Nefu,M,A,6303,6303,,0015C465F1,N,175,,,,N,N,NS,went into house,,,
9/7/17,WC42,Nefu,M,S,5598,5598,,0015C465E1,N,135,,,,N,Y,NS,"escaped, ran into 2B",,,
9/7/17,WC09,Nefu,M,S,6335,6335,,0015C465C9,Y,150,,,,Y,N,NS,,,,
9/7/17,WC46,Nefu,M,A,6370,6370,,0015C465A5,Y,235,,,,N,N,NS,,,,
9/7/17,WC59,Nefu,F,J,5515,5515,,0015C465D8,Y,100,I,S,,Y,N,,missing tail tip,,,
9/7/17,WC58,Nefu,M,J,6336,6336,,,N,105,,,,N,Y,NS,went to right of house stayed in bush,,,
9/7/17,WC57,Nefu,F,A,6305,6305,6345/5732,0015C465D6,N,195,I,M,N,Y,N,,"ran into house, hd L and R eartags",,,
9/7/17,WC53,Nefu,F,S,5532,5532/6340,,0015C465BA,N,125,I,S,N,N,N,,"new eartag, went into house, old et 6340",,,
9/7/17,WC60,Nefu,F,S,6368,,6368,,N,130,I,S,N,N,N,,RAN INTO HOUSE,,,
9/7/17,WC41,Nefu,F,S,6312,6312,,0015C465D7,N,117,I,S,N,Y,Y,,ran into house,,,
9/7/17,WC52,Nefu,F,A,6391,6391,,003BDDB04E,N,190,I,M,N,Y,Y,,ran into house,,,
9/7/17,WC08,Nefu,F,A,5766,5766/0384,,0015C465A3,N,148,I,S,N,Y,N,,"NEW PIT TAG, RAN INTO HOUSE",,,
9/7/17,WC39,Nefu,F,A,6339,6339,,0015C465CC,Y,140,I,M,N,N,N,,ran into house,,,
9/7/17,WC57,Nefu,F,J,6395,6395,,0015C465C7,N,,I,S,N,N,N,,ran into house,,"*weight recorded as 215, which doesn't make sense. Probably an error, so mass is left blank",
9/7/17,WC34,Nefu,M,A,5777,5777,,0015C465DC,Y,257,,,,Y,N,NS,ran into house,,,
5/8/17,WC02B,NeFu,F,A,6397,6397,,1B797025C4,N,,,,,,,,TRAP MORTALITY,,,
6/8/17,WC10,Nefu,F,S,6346,5543,,0015C465D5,N,183,,,,Y,Y,,"NEW EARTAG ON L, CHECK SEX, WENT INTO HOUSE",,,
6/8/17,WC41,Nefu,F,S,6312,6312,,0015C465D7,N,135,I,S,N,Y,N,,went back into house,,,
6/8/17,WC51,Nefu,M,A,6309,6309,,003BDDB07A,N,220,,,,Y,Y,NS,went back into house,,,
6/8/17,WC46,Nefu,M,A,6370,6370,,0015C465A5,N,235,,,,N,N,NS,went back into house,,,
6/8/17,WC57,Nefu,F,A,6305,6305,6345/5732,0015C465D6,N,218,P,L,N,Y,N,,"eartag may have been writen down wrong on paper (corrected here), has 3 eartags, went back intohouse, eartag corrected to 6345",,,
6/8/17,WC02,Nefu,,,,,,,N,,,,,,,,"recap, escapted downhill",,,
6/8/17,WC33,Nefu,M,S,6369,6369,6369,0015C465C2,Y,140,,,,Y,N,NS,"hung out in tree branch, went downhill toward 35",,,
6/8/17,WC59,Nefu,F,A,5783,5783,,0015C46597,N,134,I,L,N,Y,N,,potentially new pit tag,,,
6/8/17,WC50,Nefu,F,S,6395,6395,,0015C4659C,N,123,I,S,P,Y,Y,,"new pit tag accidentally added, actually has 2 (other is: 0015C465C7) scanner npt working",,,
6/8/17,WC60,Nefu,F,S,6368,,6368,0015C465CB,N,138,I,S,N,Y,N,,peed before running back into house (1st pit tag),,,
6/8/17,WC21,Nefu,F,A,6314,6314,,0015C4659D,N,200,P,L,N,N,N,,"ran towards 18, lst year pit tag # was off this is right",,,
6/8/17,WC58,Nefu,F,S,5515,5515,,0015C465D8,N,123,I,L,N,Y,N,,ran back into house,,,
6/8/17,WC29,Nefu,M,A,6350,6350/6343,,0015C465ED,N,209,,,,N,N,NS,"ran back into house, new ear tag 6343",,,
6/8/17,WC54,Nefu,F,S,6341,6341,,0015C465A6,N,130,I,S,N,Y,N,,"fresh tail injury, ran back into house, pit tag written as 3D65C465A6, changed to match",,,
6/8/17,WC52,Nefu,F,A,6391,6391,,003BDDB04E,N,295,PP,M,P,N,N,,ran back into house,,,
6/8/17,WC06,Nefu,F,A,5766,5766/0384,,0015C465A3,N,165,PP,M,P,Y,N,,,,,
6/8/17,WC53,Nefu,F,S,5532,5532/6340,,0015C465BA,N,139,P,M,N,Y,N,,,,,
6/8/17,WC08C,Nefu,F,S,5522,5522,,0015C465C4,N,110,I,S,N,Y,N,,"white tail tip, ran back into house",,,
6/8/17,WC24,Nefu,F,A,6339,6339,,0015C465CC,N,142,I,S,P,N,N,,ran back into house,,,
6/8/17,WC12,Nefu,M,S,5598,5598,,0015C465E1,N,150,,,,N,N,NS,ran downhill,,,
6/8/17,WC37,Nefu,F,S,5519,5519,,0015C465B3,Y,156,P,L,N,Y,N,,,,,
3/9/17,WC54,Nefu,F,S,6341,6341,,0015C465A6,N,135,I,S,N,N,N,,ran into tree away from house,,,
3/9/17,WC32,Nefu,F,A,5520,5520,,003BDDB0A0,N,200,P,L,N,Y,N,,ran into the house,,,
3/9/17,WC52,Nefu,F,A,6391,6391,,003BDDB04E,N,205,I,M,N,Y,N,,went into house,,,
3/9/17,WC05,Nefu,F,A,5766,5766/0384,,0015C465A3,N,159,I,S,N,Y,N,,"new and old wound in tail tip, went up into tree away from house",,,
3/9/17,WC50,Nefu,F,S,6395,6395,,0015C4659C,N,135,I,S,N,Y,N,,"tail wound, old cinnamon, went back into house",,,
3/9/17,WC58,Nefu,F,S,5515,5515,,0015C46590,N,135,I,S,N,N,N,,"cut on tail, new pit tag, ran into house",,,
3/9/17,WC60,Nefu,F,S,6368,,6368,0015C465CB,N,138,I,S,N,N,N,,ran into house,,,
3/9/17,WC41,Nefu,F,S,6312,6312,,0015C465D7,N,145,I,S,N,Y,N,,ran into house,,,
3/9/17,WC11,Nefu,M,S,5598,5598,,0015C46593,N,130,,,,Y,N,NS,"new pit tag, cinnamon",,,
3/9/17,WC12,Nefu,M,S,5549,5549,,0015C4659E,Y,152,,,,N,Y,NS,new pit tag,,,
3/9/17,WC02B,Nefu,M,A,6303,6303,,0015C465F1,N,205,,,,Y,N,NS,"new pit tag, went into tree",,,
3/9/17,WC44,Nefu,M,S,6336,6336,,1004384334,N,155,,,,Y,N,NS,"new pit tag, ran downhill",,,
3/9/17,WC24,Nefu,F,A,6339,6339,,0015C465CC,N,159,I,S,N,N,N,,"cinnamon, went back into house",,,
3/9/17,WC39,Nefu,F,A,5519,5519,,0015C465B3,N,165,I,M,N,Y,N,,ran into nearby tree,,,
3/11/17,WC54,NeFu,F,S,6341,6341,,0015C465A6,N,,,,,,,,TRAP MORTALITY,,,
6/5/18,WC39,NeFu,F,A,5519,5519,,0015C465B3,N,175,I,L,Y,Y,N,,,,,
6/5/18,WC55,NeFu,F,A,5532,5532,,0015C465BA,N,,,,,,,,escaped,,,
6/5/18,WC53,NeFu,F,A,6391,6391,,003BDDB04E,N,200,P,L,N,Y,N,,extremely large (infected?) nipples - see photo. Old gash in head,,,
6/5/18,WC47,NeFu,F,A,6326,6326,,0015C465B6,Y,184,I,L,N,N,N,,,,,
6/5/18,WC25,NeFu,F,A,6339,6339,,0015C465CC,N,193,PP,L,N,N,N,,,,,
6/5/18,WC02B,NeFu,M,A,0429,0429,,0015C46598,Y,189,,,,Y,N,NS,re-tagged PIT,,,
6/5/18,WC46,NeFu,M,A,6370,6370,,0015C465A5,N,263,,,,N,N,S,"no tail tip, scrotum receding",,,
6/5/18,WC41,NeFu,F,A,6312,6312,,0015C465D7,N,177.5,P,L,N,N,N,,went back into den,,,
6/5/18,WC29,NeFu,M,A,6347,6347,,1B797025F4,N,289,,,,N,N,S,,,,
6/5/18,WC31,NeFu,M,A,6303,6303,,0015C465DD,N,255,,,,Y,N,S,new PIT tag # 0015C465DD,,,
6/5/18,WC11,NeFu,M,A,5549,5549,,0015C4659E,N,195,,,,,Y,NS,"fur quite brown, house intact, went into house",,,
6/5/18,WC18,NeFu,M,A,5598,5598,,0015C46593,N,220,,,,Y,N,NS,0015C46593. Ran downhill from 18,,,
6/5/18,WC56,NeFu,F,A,6395,6395,,0015C4659C,N,160,I,M,N,Y,,,ran into house,,,
6/5/18,WC08B,NeFu,F,A,5766,5766/0384,,0015C465A3,N,180,P,L,N,N,N,,5766 old eartag lost. New eartag 0384. Missing tail tip. Released at 8B but headed west along branches.,,,
6/5/18,WC60,NeFu,F,A,6368,,6368,0015C465F2,N,195,PP,M,Y,N,Y,,went back into house,,,
6/5/18,WC51,NeFu,M,A,6309,6309,,003BDDB07A,N,220,,,,N,N,S,went back into den,,,
6/5/18,WC42,NeFu,F,A,5524,5524,,0015C465C5,N,192,I,L,N,Y,N,,"tail was cut off very short, collar on neck. Ran into house, house intact",,,
3/6/18,WC12,NeFu,M,A,5549,5549,,0015C4659E,N,190,,,,N,N,NS,went into house,,,
3/6/18,WC08C,NeFu,F,J,0314,0314,,0015C465DE,Y,105,I,S,N,Y,N,,radiocollar 164.074; went into house,,,
3/6/18,WC02B,NeFu,M,A,0429,0429,,0015C46598,N,190,,,,N,N,NS,ran downhill up tree,,,
3/6/18,WC44,NeFu,F,A,6312,6312,,0015C465D7,N,160,I,S,N,N,N,,stood around for about 35 sec before going into house,,,
3/6/18,WC25,NeFu,M,J,0458,0458,,0015C465DA,Y,115,,,,Y,N,NS,radiocollar 164.092. Went into WC 26,,,
3/6/18,WC08,NeFu,F,A,5766,5766/0384,,0015C465A3,N,180,P,M,N,N,N,,half of tail gone; wound on left side under tail; went into house,,,
3/6/18,WC02,NeFu,M,J,0171,0171,,0015C465EC,Y,125,,,,Y,N,NS,"radiocollar 164.061; ate an oat, then went into house",,,
3/6/18,WC24,NeFu,F,A,6339,6339,,0015C465CC,N,172,I,M,N,Y,N,,stood around for 12 sec before going toward house,,,
3/6/18,WC60,NeFu,F,A,6368,,6368,0015C465CB,N,165,I,S,N,Y,N,,"Stunned from fall, died on return to house. Woodrat body put in freezer.",,,
3/6/18,WC53,NeFu,M,J,0301,0301,,003D2D25C7,Y,102,,,,Y,N,NS,Botfly on neck,,,
3/6/18,WC54,NeFu,M,J,0436,0436,,003D2D25E0,Y,83,,,,Y,N,NS,pierced the ear closed with tag; died in handling,,,
3/6/18,WC19,NeFu,M,A,5598,5598,,0015C46593,N,210,,,,N,N,NS,ran uphill to house,,,
3/6/18,WC47,NeFu,F,J,0482,0482,,,Y,100,I,S,N,N,N,,too small to pit tag,,,
3/6/18,WC30,NeFu,M,A,0303,0303,,0015C465D3,N,245,,,,N,N,NS,"CHECK PIT TAG, Check Eartags (0303 or 6303?)",,,
3/6/18,WC39,NeFu,F,A,5519,5519,,0015C465B3,N,,,,,,,,escaped,,,
3/6/18,WC41,NeFu,M,J,0196,,0196,,Y,95,,,,N,N,NS,"too small to pit tag, went back into house",,,
3/6/18,WC56,NeFu,F,A,6395,6395,,0015C4659C,N,154,I,L/M,N,N,N,,tail tip missing; went into house,,,
3/6/18,WC41,NeFu,F,A,5524,5524,,0015C465C5,N,195,I,M,N,N,Y,,might be 8524; removed collar; went into house,,,
3/6/18,WC42,NeFu,M,J,0485,0485,,,Y,100,,,,N,Y,NS,"too small to pit tag, went into house",,,
3/6/18,WC40,NeFu,F,J,0340,0340,,003D2D25F3,Y,105,I,S,N,Y,N,,went into house; tail rattle,,,
17/6/18,WC12,NeFu,M,A,5549,5549,,0015C4659E,N,190,,,,N,N,NS,radiocollar 164.034,,Pit tag may be incorrect,
17/6/18,WC02B,NeFu,M,A,0429,0429,,0015C46598,N,200,,,,y,y,NS,radiocollar 164.133,,,
17/6/18,WC53,NeFu,F,A,6395,6395,,0015C4659C,N,155,I,M,N,N,Y,,radiocollar 164.122,,,
17/6/18,WC19,NeFu,M,A,5598,5598,,0015C465E1,N,215,,,,Y,N,NS,0015C46593 (2 PIT TAGS); radiocollar 164.142,,,
17/6/18,WC21,NeFu,M,A,6347,,0441,1B797025F4,N,280,,,,Y,Y,NS,"New ear tag on R ear, old one on left. Last caught in 2015",,,
28/6/18,WC09B,NeFu,M,S,0389,,0389,003D2D25D2,Y,150,,,,N,N,NS,"went into new house below 9, timid",,,
28/6/18,WC61,NeFu,F,J,0102,0102,,003D2D25EB,Y,125,I,S,Y,N,N,,"went into new house, tail damaged",,,
29/6/18,WC25,Nefu,M,S,0458,0458,,0015C465DA,N,152.5,,,,Y,N,,still has collar; squeaky; went into house WC39,,,
1/7/18,WC44,NeFu,F,A,6312,6312,,0015C465D7,N,180,PP,S,Y,N,N,,ran towards house,,,
1/7/18,WC40,NeFu,F,A,5524,5524,,0015C465C5,N,200,PP,S,N,N,N,,part of tail is gone (old). Ran towards WC10,,,
1/7/18,WC10,NeFu,F,J,0340,0340,,003D2D25CB,N,117.5,I,S,N,N,N,,"No pit tag; new tag inserted; tail rattle, back into house",,,
1/7/18,WC50,NeFu,F,A,6395,6395,,0015C465C7,N,165,I,L,N,N,N,,Collared; dried milk on nipples; ran downhill,,,
1/7/18,WC46,NeFu,M,A,6370,6370,,0015C465A5,N,255,,,,N,N,NS,Part of tail cut off (old); ran into house,,,
1/7/18,WC61,NeFu,F,J,0102,0102,,003D2D25EB,N,102,I,S,N,Y,N,,"tail cut recently (bloody, dry)",,,
1/7/18,WC02B,NeFu,M,A,0429,0429,,0015C46598,N,200,,,,Y,Y,NS,Radio collar; base of tail losing fur; back into house,,,
