YEAR,Eartags,Sex,RFID_HEX1_10,RFID_HEX2_10,RFID_HEX3_10,RFID_HEX4_10,Comments,Eartag_1,Eartag_2,Eartag_3
2018,102,F,003D2D25EB,,,,,102,,
2018,171,M,0015C465EC,,,,,171,,
2018,198,F,003D2D2612,,,,,198,,
2018,301,M,003D2D25C7,,,,,301,,
2018,303,M,0015C465D3,003D2D25F4,,,Eartag may be incorrect (6303?),303,,
2018,307,M,003D2D25FD,,,,,307,,
2018,314,F,0015C465DE,,,,,314,,
2018,330,M,003D2D25D7,,,,,330,,
2018,332,M,003D2D2620,,,,,332,,
2018,340,F,003D2D25F3,003D2D25CB,,,,340,,
2018,384,F,0015C465A3,,,,,384,,
2018,389,M,003D2D25D2,,,,,389,,
2018,417,M,003BDDB07A,,,,,417,,
2018,429,M,0015C46598,,,,,429,,
2018,436,M,003D2D25E0,,,,,436,,
2018,441,M,1B797025F4,,,,,441,,
2018,458,M,0015C465DA,,,,,458,,
2018,482,F,003D2D25EF,,,,,482,,
2018,484,F,003D2D25CE,,,,,484,,
2018,485,M,003D2D25C9,,,,,485,,
2013,5503,M,1B79702D1D,,,,,5503,,
2013,5506,F,1B79702B38,,,,,5506,,
2012,5507,F,1B7970256F,,,,,5507,,
2016,5508,M,003BDDB063,003BDDB09C,,,,5508,,
2017,5515,F,0015C465D8,0015C46590,003D2D25C1,003D2D25E8,,5515,,
2017,5519,F,0015C465B3,,,,,5519,,
2016,5520,F,003BDDB0A0,,,,,5520,,
2013,5521,M,1B797024A6,,,,,5521,,
2017,5522,F,0015C465C4,,,,,5522,,
2016,5524,F,003BDDB0AD,0015C465C5,,,,5524,,
2013,5527,F,1B79702A33,,,,,5527,,
2013,5529,M,1B79701628,,,,,5529,,
2018,5532,,0015C465BA,,,,,5532,,
2013,5535,F,1B79702B20,1B79702B2C,,,,5535,,
2013,5536,F,1B797025AB,,,,,5536,,
2013,5537,M,1B7970135B,,,,,5537,,
2014,5538,F,1B7970267F,,,,,5538,,
2012,5539,M,1B79702458,,,,,5539,,
2013,5540,M,1B79701E5D,,,,,5540,,
2013,5541,M,1B7970135F,,,,,5541,,
2013,5542,M,1B79702786,,,,,5542,,
2017,5543,M,0015C465D5,,,,,5543,,
2013,5545,F,1B797022CF,,,,,5545,,
2017,5549,M,0015C4659E,0015C465B6,,,,5549,,
2012,5559,F,1B79702531,1B79702C23,,,,5559,,
2013,5566,M,1B7970227A,,,,,5566,,
2012,5569,F,1B79702A2C,,,,,5569,,
2017,5570,M,0015C465A2,,,,,5570,,
2012,5571,M,1B797025E0,1B79701F84,,,,5571,,
2012,5574,M,1B79702D31,,,,,5574,,
2012,5578,F,1B79702682,,,,,5578,,
2012,5581,F,1B7970252A,,,,,5581,,
2012,5584,F,1B79702489,,,,,5584,,
2017,5590,M,0015C465CF,,,,,5590,,
2012,5592,M,1B79701A40,,,,,5592,,
2012,5593,F,1B79702BF2,,,,,5593,,
2017,5598,M,0015C465E1,0015C46593,,,,5598,,
2013,5714,N,1B7970153D,,,,,5714,,
2014,5726,M,1B79702CA5,,,,,5726,,
2012,5727,F,1B79702A33,,,,,5727,,
2012,5729,M,1B79701251,,,,,5729,,
2012,5730,M,1B79701390,1B797028E3,,,,5730,,
2016,5731,M,003BDDB099,,,,,5731,,
2016,5732,F,003BDDB07F,,,,,5732,,
2016,5733,M,003BDDB076,,,,,5733,,
2012,5761,F,1B797026FF,,,,,5761,,
2014,5764,F,1B79702624,,,,,5764,,
2017,5766,F,0015C465A3,3D65C465A3,,,,5766,,
2013,5768,M,1B79702AC8,1B79702B9D,,,,5768,,
2013,5770,F,1B79701FA3,,,,,5770,,
2013,5773,F,1B79701B55,,,,,5773,,
2013,5774,M,1B7970153D,1B79702810,,,,5774,,
2016,5776,F,003BDDB056,,,,,5776,,
2017,5777,M,0015C465DC,,,,,5777,,
2016,5780,F,003BDDB08C,,,,,5780,,
2012,5782,F,1B79701DD1,,,,,5782,,
2017,5783,F,0015C46597,,,,,5783,,
2013,5789,F,1B79702A6D,1B7970286C,,,,5789,,
2012,5790,F,1B797022B6,1B79702715,,,,5790,,
2013,5793,F,1B7970249B,,,,,5793,,
2013,5796,F,1B79702B33,,,,,5796,,
2017,5797,M,0015C465AE,,,,,5797,,
2013,5798,M,1B797019C1,,,,,5798,,
2013,5799,M,1B797020B2,,,,,5799,,
2014,5996,M,1B79701B35,,,,,5996,,
2012,6192,F,1B79702219,,,,,6192,,
2017,6303,M,0015C465E6,0015C465F1,0015C465DD,,,6303,,
2016,6305,F,003BDDB07F,,,,,6305,,
2017,6307,F,0015C465BE,,,,,6307,,
2016,6309,M,003BDDB0A8,003BDDB07A,,,,6309,,
2017,6312,F,0015C465D7,,,,,6312,,
2017,6314,F,0015C4659D,,,,,6314,,
2014,6320,F,1B79701D4E,,,,eartag 6320 may be incorrect,6320,,
2014,6321,F,1B7970255C,1B797023B7,,,,6321,,
2013,6323,F,1B7970208E,,,,,6323,,
2014,6324,F,1B79701723,,,,,6324,,
2013,6325,M,1B79701A33,,,,,6325,,
2018,6326,F,0015C465B6,003D2D261C,,,,6326,,
2016,6331,F,003BDDB060,,,,,6331,,
2016,6332,M,003BDDB090,,,,,6332,,
2017,6333,M,0015C465EE,,,,,6333,,
2015,6334,M,1B7970292D,,,,,6334,,
2017,6335,M,0015C465C9,,,,,6335,,
2017,6336,M,0015C465B0,,,,,6336,,
2015,6337,M,1B79701982,,,,,6337,,
2017,6339,F,0015C465CC,,,,,6339,,
2017,6341,F,0015C465A6,3D65C465A6,0015C465EB,,,6341,,
2017,6342,M,0015C465D9,,,,,6342,,
2017,6344,F,0015C465B9,,,,,6344,,
2017,6346,F,0015C465D5,,,,,6346,,
2015,6347,M,1B797025F4,,,,,6347,,
2015,6348,M,1B7970228F,,,,,6348,,
2013,6350,M,1B79701739,0015C465ED,,,,6350,6343,
2013,6351,F,1B79702761,,,,,6351,,
2016,6352,F,003BDDB086,,,,,6352,,
2017,6353,F,0015C465C1,,,,,6353,,
2015,6361,F,1B79702A01,,,,,6361,,
2017,6365,F,0015C465BD,,,,,6365,,
2017,6368,F,0015C465CB,0015C465F2,,,,6368,,
2017,6369,M,0015C465C2,,,,,6369,,
2017,6370,M,0015C465A5,,,,,6370,,
2013,6371,M,1B79701C9E,,,,,6371,,
2013,6372,M,1B79701E5D,,,,,6372,,
2013,6373,M,1B7970231C,1B7970211C,,,,6373,,
2014,6385,M,1B79702789,,,,,6385,,
2014,6387,M,1B7970276B,,,,,6387,,
2014,6388,M,1B797021BB,,,,,6388,,
2016,6391,F,003BDDB04E,,,,,6391,,
2017,6395,F,0015C465C7,0015C4659C,,,,6395,,
2015,6397,F,1B79702564,1B797025C4,,,,6397,,
2014,6399,F,1B797022F8,,,,,6399,,
2014,6400,F,1B79701EB9,,,,,6400,,
2013,6584,F,1B797026B3,,,,,6584,,
2017,5532/6340,F,0015C465B2,0015C465BA,,,,5532,6340,
2017,6345/5732,F,003BDDB07F,0015C465D6,,,,6345,5732,6305
9999,TST1,,3BFAD5EB,,,,,,,
9999,TST2,,06054AB5,,,,,,,
9999,TST3,,3BDDB0A1,,,,,,,
9999,TST4,,3BE23A93,,,,,,,